image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
none,none,1.7550924755754757e+18,-190.66514587402344,14.963260650634766,-36.86488723754883,359.3536682128906,-76.75812530517578,-55.95684051513672,-659.1891479492188,437.5679016113281,128.5755615234375
none,none,1.7550924755854758e+18,-187.6217041015625,13.152887344360352,-37.025936126708984,360.638671875,-75.20842742919922,-57.99275588989258,-660.034423828125,435.8373718261719,126.91949462890625
none,none,1.755092475595476e+18,-184.58680725097656,11.363889694213867,-37.188751220703125,361.9415588378906,-73.75377655029297,-59.9635124206543,-661.019287109375,434.5255432128906,125.5401382446289
/home/pi/360_images/20250813/image_1755092475580913438.png,1755092475580913438,1.7550924756054758e+18,-181.58645629882812,9.343231201171875,-37.419559478759766,363.1907958984375,-72.47722625732422,-61.93168640136719,-662.0051879882812,433.87933349609375,124.3208999633789
none,none,1.7550924756154757e+18,-178.65585327148438,7.538666725158691,-37.60664749145508,364.5515441894531,-71.0324478149414,-63.93878173828125,-662.94189453125,433.45758056640625,123.19458770751953
none,none,1.7550924756254758e+18,-175.4130096435547,5.532680988311768,-37.70295715332031,366.001220703125,-69.70243072509766,-65.96806335449219,-663.7942504882812,433.26263427734375,122.24239349365234
none,none,1.755092475635476e+18,-172.52798461914062,3.292677640914917,-37.82759475708008,367.5475769042969,-68.44709777832031,-68.01255798339844,-664.9569702148438,433.4237976074219,121.51171112060547
none,none,1.7550924756454758e+18,-169.37158203125,1.1879305839538574,-37.964351654052734,369.2166748046875,-67.19402313232422,-69.96003723144531,-665.9368286132812,433.8377990722656,120.91270446777344
/home/pi/360_images/20250813/image_1755092475647699723.png,1755092475647699723,1.7550924756554757e+18,-166.26895141601562,-0.8879415988922119,-38.125648498535156,370.7162170410156,-66.07368469238281,-71.9518814086914,-666.8316650390625,434.5501708984375,120.4466552734375
none,none,1.7550924756654758e+18,-162.98960876464844,-3.0516276359558105,-38.247283935546875,372.351318359375,-64.96427917480469,-73.93351745605469,-667.7517700195312,435.3238220214844,119.93865203857422
